日期,螺纹钢:美国:市场价,螺纹钢:欧盟:市场价,螺纹钢:日本:市场价,螺纹钢:独联体:市场价,螺纹钢:土耳其:市场价
2015/5/22,639.00 ,497.00 ,502.00 ,395.00 ,460.00 
2015/5/29,639.00 ,487.00 ,493.00 ,395.00 ,455.00 
2015/6/5,639.00 ,505.00 ,483.00 ,395.00 ,450.00 
2015/6/12,639.00 ,506.00 ,478.00 ,395.00 ,450.00 
2015/6/19,639.00 ,510.00 ,486.00 ,400.00 ,440.00 
2015/6/26,639.00 ,498.00 ,485.00 ,395.00 ,425.00 
2015/7/3,639.00 ,487.00 ,489.00 ,385.00 ,410.00 
2015/7/10,639.00 ,475.00 ,490.00 ,380.00 ,410.00 
2015/7/17,639.00 ,462.00 ,487.00 ,380.00 ,410.00 
2015/7/24,639.00 ,467.00 ,483.00 ,375.00 ,405.00 
2015/7/31,639.00 ,463.00 ,486.00 ,375.00 ,395.00 
2015/8/7,639.00 ,465.00 ,483.00 ,370.00 ,395.00 
2015/8/13,639.00 ,475.00 ,481.00 ,370.00 ,395.00 
2015/8/21,639.00 ,468.00 ,482.00 ,370.00 ,395.00 
2015/8/28,617.00 ,475.00 ,471.00 ,370.00 ,385.00 
2015/9/6,617.00 ,454.00 ,471.00 ,370.00 ,375.00 
2015/9/11,606.00 ,455.00 ,478.00 ,370.00 ,375.00 
2015/9/18,606.00 ,462.00 ,474.00 ,335.00 ,355.00 
2015/9/25,595.00 ,448.00 ,473.00 ,325.00 ,355.00 
2015/9/29,595.00 ,448.00 ,473.00 ,320.00 ,355.00 
2015/10/9,595.00 ,429.00 ,476.00 ,310.00 ,345.00 
2015/10/16,584.00 ,429.00 ,474.00 ,305.00 ,330.00 
2015/10/23,584.00 ,418.00 ,477.00 ,305.00 ,320.00 
2015/10/30,562.00 ,392.00 ,470.00 ,305.00 ,315.00 
2015/11/3,562.00 ,392.00 ,470.00 ,305.00 ,315.00 
2015/11/9,562.00 ,387.00 ,462.00 ,305.00 ,335.00 
2015/11/16,562.00 ,392.00 ,464.00 ,300.00 ,340.00 
2015/11/23,551.00 ,383.00 ,463.00 ,295.00 ,345.00 
2015/11/30,551.00 ,381.00 ,463.00 ,295.00 ,335.00 
2015/12/7,540.00 ,390.00 ,462.00 ,290.00 ,335.00 
2015/12/14,540.00 ,394.00 ,462.00 ,290.00 ,335.00 
